Normalised,Name,Role,Label
michael patrick mulligan,Michael Patrick Mulligan,Councillor,Roscommon County Council
michael phillips,Michael Phillips,Director of Services or Equivalent,Dublin City Council
michael raftery,Michael Raftery,Director of Services or Equivalent,Galway County Council
michael ring,Michael Ring,Minister of State,"Department of Arts, Heritage and the Gaeltacht"
michael scannel,Michael Scannel,Director of Operations,Kerry County Council
michael scannell,Michael Scannell,Customer Services,Kerry County Council
michael sheahan,Michael Sheahan,Chief Agricultural Inspector,"Department of Agriculture, Food and the Marine"
michael sheehan,Michael Sheehan,Councillor,Wexford County Council
michael smith,Michael Smith,Councillor,Tipperary County Council
michael smyth,Michael Smyth,Councillor,Mayo County Council
michael walsh,Michael Walsh,CEO,Waterford and City Council
michael w. d arcy,Michael W. D'Arcy,TD,"Dáil Éireann, the Oireachtas"
michael whelan,Michael Whelan,Councillor,Wexford County Council
micheal carrigy,Micheál Carrigy,Councillor,Longford County Council
micheal lowry,Micheál Lowry,Councillor,Tipperary County Council
micheal macdonncha,Mícheál MacDonncha,Councillor,Dublin City Council
micheal martin,Micheál Martin,TD,Dáil Éireann
michelle mulherin,Michelle Mulherin,Senator,Seanad
michelle shannon,Michelle Shannon,Director,Department of Children and Youth Affairs
mick barry,Mick Barry,Councillor,Cork City Council
mick cahill,Mick Cahill,Councillor,Longford County Council
mick duff,Mick Duff,Councillor,South Dublin County Council
mick finn,Mick Finn,Councillor,Cork City Council
mick lorigan,Mick Lorigan,Director of Services or Equivalent,Fingal County Council
mick murphy,Mick Murphy,Councillor,South Dublin County Council
mick nugent,Mick Nugent,Councillor,Cork City Council
mick quinn,Mick Quinn,Councillor,Donegal County Council
mick roche,Mick Roche,Councillor,Wexford County Council
mick wallace,Mick Wallace,TD,"Dáil Éireann, the Oireachtas"
mike cubbard,Mike Cubbard,Councillor,Galway City Council
mike kennelly,Mike Kennelly,Councillor,Kerry County Council
mike mckee,Mike McKee,Councillor,Clare County Council
minister for transport,Minister for Transport,Minister,"Department of Transport, Tourism and Sport"
miriam murphy,Miriam Murphy,Councillor,Wicklow County Council
moira murrell,Moira Murrell,CEO,Kerry County Council
morgan mcknight,Morgan McKnight,CEO,Department of Justice and Equality
ms. sarah kavanagh,Ms. Sarah Kavanagh,Special Adviser,Department of Foreign Affairs and Trade
muiris o?connor,Muiris O’Connor,Assistant Secretary,Department of Health
naoise ocearuil,Naoise OCearúil,Councillor,Kildare County Council
naoise o muiri,Naoise Ó Muirí,Councillor,Dublin City Council
natalie tracey,Natalie Tracey,Councillor,Fingal County Council
national transport authority,National Transport Authority,CEO,"Department of Transport, Tourism and Sport"
neale richmond,Neale Richmond,Councillor,Dun Laoghaire-Rathdown County Council
ned o sullivan,Ned O'Sullivan,Senator,Seanad
neil cruise,Neil Cruise,Councillor,Mayo County Council
neil ryan,Neil Ryan,Assistant Secretary,Department of Finance
neil ward,Neil Ward,Special Advisor,Department of Education and Skills
nessa childers,Nessa Childers,MEP,European Parliament
niall barrett,Niall Barrett,Director of Services or Equivalent,Clare County Council
niall burgess,Niall Burgess,Secretary General,Department of Foreign Affairs and Trade
niall cody,Niall Cody,Chairman,The Office of the Revenue Commissioners
niall collins,Niall Collins,TD,"Dáil Éireann, the Oireachtas"
niall cussen,Niall Cussen,Special Advisor,"Department of Housing, Planning and Local Government"
niall kellegher,Niall Kellegher,Councillor,Kerry County Council
niall mcnelis,Niall McNelis,Councillor,Galway City Council
niall morrissey,Niall Morrissey,Director of Services or Equivalent,Kildare County Council
niall o donnchu,Niall Ó Donnchú,Assistant Secretary,Department of Arts
niall o donnghaile,Niall Ó Donnghaile,Senator,Seanad
niall ring,Niall Ring,Councillor,Dublin City Council
niamh byrne,Niamh Byrne,Councillor,Galway County Council
niamh connolly,Niamh Connolly,Special Advisor,Department of Justice and Equality
niamh kennedy,Niamh Kennedy,Councillor,Donegal County Council
niamh larkin,Niamh Larkin,Director of Audit,"Department of Housing, Planning and Local Government"
niamh o donoghue,Niamh O'Donoghue,Secretary General,Department of Social Protection
niamh o?donoghue,Niamh O’Donoghue,Secretary General,Department of Social Protection
niamh smyth,Niamh Smyth,Councillor,Cavan County Council
nicholas crossan,Nicholas Crossan,Councillor,Donegal County Council
nicholas o brien,Nicholas O'Brien,Assistant Secretary,Department of Finance
nicholas o keeffe,Nicholas O'Keeffe,Councillor,Cork City Council
nick killian,Nick Killian,Councillor,Meath County Council
nick miller,Nick Miller,Press Adviser,Department of Health
nicky coules,Nicky Coules,Councillor,South Dublin County Council
nicola lawless,Nicola Lawless,Councillor,Wicklow County Council
nigel dineen,Nigel Dineen,Councillor,Roscommon County Council
noel bourke,Noel Bourke,Councillor,Offaly County Council
noel collins,Noel Collins,Councillor,Cork County Council
noel cribbin,Noel Cribbin,Councillor,Offaly County Council
noeleen reilly,Noeleen Reilly,Councillor,Dublin City Council
noel french,Noel French,Councillor,Meath County Council
noel gleeson,Noel Gleeson,Councillor,Limerick City and County Council
noel grealish,Noel Grealish,TD,"Dáil Éireann, the Oireachtas"
noel harrington,Noel Harrington,TD,"Dáil Éireann, the Oireachtas"
noel j. coonan,Noel J. Coonan,TD,"Dáil Éireann, the Oireachtas"
noel keelan,Noel Keelan,Councillor,Monaghan County Council
noel larkin,Noel Larkin,Councillor,Galway City Council
noel mccarthy,Noel McCarthy,Councillor,Cork County Council
noel o connell,Noel O'Connell,Director of Services or Equivalent,"Department of Environment, Community and Local Government"
noel o donovan,Noel O'Donovan,Councillor,Cork County Council
noel rock,Noel Rock,Councillor,Dublin City Council
noel rubotham,Noel Rubotham,Head of Directorate,The Courts Service
noel thomas,Noel Thomas,Councillor,Galway County Council
noel tuohy,Noel Tuohy,Councillor,Laois County Council
noel waters,Noel Waters,Secretary General,Department of Justice and Equality
norah flanagan,Norah Flanagan,Assistant Secretary,Dublin City Council
norma foley,Norma Foley,Councillor,Kerry County Council
norma moriarty,Norma Moriarty,Councillor,Kerry County Council
norma sammon,Norma Sammon,Councillor,Dublin City Council
office of the information commissioner,Office of the Information Commissioner,Commissioner,The Office of the Appeal Commissioners
office of the revenue commissioners,Office of the Revenue Commissioners,Head of Unit,The Office of the Revenue Commissioners
oireachtas committee on futurehealth,Oireachtas Committee on Futurehealth,Senator,"Dáil Éireann, the Oireachtas"
oisin o connell,Oisin O'Connell,Councillor,Wexford County Council
olive mcgovern,Olive McGovern,"Director, Construction Contracts Adjudication Service",Department of Children and Youth Affairs
oliver egan,Oliver Egan,Assistant Secretary,Department of Social Protection
oliver o brien,Oliver O'Brien,Councillor,Wicklow County Council
oliver tully,Oliver Tully,Councillor,Louth County council
oliver walsh,Oliver Walsh,Councillor,Wexford County Council
olivia mitchell,Olivia Mitchell,TD,"Dáil Éireann, the Oireachtas"
ollie crowe,Ollie Crowe,Councillor,Galway City Council
oonagh buckley,Oonagh Buckley,Assistant Secretary,Department of Public Expenditure and Reform
oonagh mcphillips,Oonagh McPhillips,Assistant Secretary,Department of Justice and Equality
orla corrigan,Orla Corrigan,Assistant Secretary,"Department of Transport, Tourism and Sport"
orlaigh quinn,Orlaigh Quinn,Assistant Secretary,Department of Public Expenditure and Reform
orlaith quinn,Orlaith Quinn,Secretary General,"Department of Jobs, Enterprise and Innovation"
orla leyden,Orla Leyden,Councillor,Roscommon County Council
ossian smyth,Ossian Smyth,Councillor,Dun Laoghaire-Rathdown County Council
owen keegan,Owen Keegan,CEO,Dublin City Council
pa daly,Pa Daly,Councillor,Kerry County Council
paddy bourke,Paddy Bourke,Councillor,Dublin City Council
paddy bracken,Paddy Bracken,Councillor,Laois County Council
paddy burke,Paddy Burke,Senator,Seanad
paddy donnelly,Paddy Donnelly,Director of Services or Equivalent,Louth County council
paddy hill,Paddy Hill,Councillor,Westmeath County Council
paddy kavanagh,Paddy Kavanagh,Councillor,Wexford County Council
paddy kenneddy,Paddy Kenneddy,Councillor,Kildare County Council
paddy kilduff,Paddy Kilduff,Chairman,Roscommon County Council
paddy mahon,Paddy Mahon,CEO,Longford County Council
paddy mccartan,Paddy McCartan,Councillor,Dublin City Council
paddy mcdonald,Paddy McDonald,Councillor,Cavan County Council
paddy meade,Paddy Meade,Councillor,Meath County Council
paddy o reilly,Paddy O'Reilly,Councillor,Cavan County Council
paddy oreilly,Paddy OReilly,Councillor,Cavan County Council
paddy o rourke,Paddy O'Rourke,Councillor,Leitrim County Council
paddy smith,Paddy Smith,Councillor,Cavan County Council
paddy smyth,Paddy Smyth,Councillor,Dublin City Council
padraic flynn,Padraic Flynn,Chief Veterinary Officer,Clare County Council
padraig conneely,Padraig Conneely,Councillor,Galway City Council
padraig dalton,Pádraig Dalton,Director General,Central Statistics Office
padraig fallon,Padraig Fallon,Councillor,Leitrim County Council
padraig fitzsimons,Padraig Fitzsimons,Councillor,Meath County Council
padraig fleming,Padraig Fleming,Councillor,Laois County Council
padraig loughrey,Padraig Loughrey,Councillor,Longford County Council
padraig mac lochlainn,Pádraig Mac Lochlainn,Senator,Seanad
padraig maclochlainn,Pádraig MacLochlainn,Senator,Seanad
padraig mcevoy,Padraig McEvoy,Councillor,Kildare County Council
padraig mcnally,Padraig McNally,Councillor,Monaghan County Council
padraig o ceidigh,Padraig O'Ceidigh,Senator,Seanad
padraig o sullivan,Padraig O'Sullivan,Councillor,Cork County Council
padraig osullivan,Padraig OSullivan,Councillor,Cork County Council
padriag mac lochlainn,Padriag Mac Lochlainn,Senator,"Dáil Éireann, the Lower House of the Oireachtas"
pamela kearns,Pamela Kearns,Councillor,South Dublin County Council
paraic brady,Paraic Brady,Councillor,Longford County Council
pascal mcevoy,Pascal McEvoy,Councillor,Laois County Council
paschal donohoe,Paschal Donohoe,Minister,Department of Finance
paschal fitzmaurice,Paschal Fitzmaurice,Councillor,Roscommon County Council
paschal mooney,Paschal Mooney,Senator,Seanad
pat breen,Pat Breen,Minister of State,Department of Jobs
pat buckley,Pat Buckley,Councillor,Cork County Council
pat burke,Pat Burke,Councillor,Clare County Council
pat casey,Pat Casey,Councillor,Wicklow County Council
pat cronin,Pat Cronin,Director of Services or Equivalent,Dublin City Council
pat crowley,Pat Crowley,Service Operations/Change Management,Cork County Council
pat daly,Pat Daly,Councillor,Clare County Council
pat deering,Pat Deering,TD,"Dáil Éireann, the Oireachtas"
pat doran,Pat Doran,Councillor,Wicklow County Council
pat dowling,Pat Dowling,CEO,Clare County Council
pat dunne,Pat Dunne,Councillor,Dublin City Council
pat dunphy,Pat Dunphy,Councillor,Kilkenny County Council
pat english,Pat English,Councillor,Tipperary County Council
pat fenton (environmental attache),Pat Fenton (environmental attaché),"Director, Construction Contracts Adjudication Service",Department of Foreign Affairs and Trade
pat fitzgerald,Pat Fitzgerald,Councillor,Waterford and City Council
pat fitzpatrick,Pat FitzPatrick,Councillor,Kilkenny County Council
pat fleming,Pat Fleming,Director of Services or Equivalent,Dublin City Council
pat gallagher,Pat Gallagher,Chief Executive Officer,Westmeath County Council
pat hand,Pat Hand,Councillor,Dun Laoghaire-Rathdown County Council
pat hayes,Pat Hayes,Councillor,Clare County Council
pat hennessy,Pat Hennessy,Assistant Secretary,Department of Foreign Affairs and Trade
pat hynes,Pat Hynes,Councillor,Galway County Council
pat kavanagh,Pat Kavanagh,Councillor,Wicklow County Council
pat kennedy,Pat Kennedy,Councillor,Wicklow County Council
pat ledwidge,Pat Ledwidge,Director of Services or Equivalent,Cork City Council
pat mccartan,Pat McCartan,Councillor,Dublin City Council
pat mccarthy,Pat McCarthy,Councillor,Kerry County Council
pat mcmahon,Pat McMahon,Councillor,Clare County Council
pat millea,Pat Millea,Councillor,Kilkenny County Council
pat murtagh,Pat Murtagh,Director of Services or Equivalent,Roscommon County Council
pat nugent,Pat Nugent,Councillor,Waterford and City Council
pat o doherty,Pat O' Doherty, Apprenticeship Council,""
pat o mahony,Pat O'Mahony,Assistant Secretary,Department of Health
pat o?mahony,Pat O’Mahony,Deputy Secretary General,Department of Health
pat o neill,Pat O'Neill,Senator,Seanad
pat o toole,Pat O'Toole,Councillor,Longford County Council
pat rabbitte,Pat Rabbitte,TD,"Dáil Éireann, the Oireachtas"
pat rabitte,Pat Rabitte,TD,"Dáil Éireann, the Oireachtas"
patricia coleman,Patricia Coleman,Director,Department of Public Expenditure and Reform
patricia cronin,Patricia Cronin,Assistant Secretary,"Department of Communications, Climate Action & Environment"
patricia murphy,Patricia Murphy,Assistant Secretary,Department of Social Protection
patricia o brien,Patricia O'Brien,Assistant Secretary,Department of Foreign Affairs and Trade
patricia philbin,Patricia Philbin,Director of Services or Equivalent,Galway City Council
patricia ryan,Patricia Ryan,Special Adviser,Department of Children and Youth Affairs
patricia stewart,Patricia Stewart,Councillor,Dun Laoghaire-Rathdown County Council
patrick cluskey,Patrick Cluskey,Special Adviser,Department of Education and Skills
patrick connor-scarteen,Patrick Connor-Scarteen,Councillor,Kerry County Council
patrick costello,Patrick Costello,Councillor,Dublin City Council
patrick keating,Patrick Keating,Councillor,Westmeath County Council
patrick mcgowan,Patrick McGowan,Councillor,Donegal County Council
patrick mckee,Patrick McKee,Councillor,Kilkenny County Council
patrick murphy,Patrick Murphy,Councillor,Cork County Council
patrick o donovan,Patrick O'Donovan,Minister of State,"Department of Transport, Tourism and Sport"
patrick o neill,Patrick O'Neill,Councillor,Kilkenny County Council
patrick oneill,Patrick ONeill,Councillor,Kilkenny County Council
patrick sullivan,Patrick Sullivan,Head of Unit,Department of Education and Skills
pat slattery,Pat Slattery,Director of Services or Equivalent,Tipperary County Council
patsy o brien,Patsy O'Brien,Councillor,Mayo County Council
pat the cope gallagher,Pat the Cope Gallagher,TD,"Dáil Éireann, the Oireachtas"
pat treanor,Pat Treanor,Councillor,Monaghan County Council
pat vance,Pat Vance,Councillor,Wicklow County Council
paudge connolly,Paudge Connolly,Councillor,Monaghan County Council
paudie coffey,Paudie Coffey,Minister of State,"Department of Environment, Community and Local Government"
paudie dineen,Paudie Dineen,Councillor,Cork City Council
paula barry walsh,Paula Barry Walsh,Deputy Chief Veterinary Officer,"Department of Agriculture, Food and the Marine"
paula donavan,Paula Donavan,Councillor,South Dublin County Council
paul bell,Paul Bell,Councillor,Louth County council
paul benson,Paul Benson,Director of Services or Equivalent,Mayo County Council
paul bolger,Paul Bolger,Special Advisor,Department of Finance
paul bradford,Paul Bradford,Senator,Seanad
paul burns,Paul Burns,Head of Directorate,The Courts Service
paul canning,Paul Canning,Councillor,Donegal County Council
paul carroll,Paul Carroll,Director of Services or Equivalent,Department of Social Protection
paul christie,Paul Christie,Economic Development & Planning,Donegal County Council
paul clegg ,Paul Clegg ,Director of Services or Equivalent,Dublin City Council
paul clifford,Paul Clifford,Director of Services or Equivalent,Monaghan County Council
paul coghlan,Paul Coghlan,Senator,Seanad
paul connaughton jr.,Paul Connaughton Jr.,TD,"Dáil Éireann, the Oireachtas"
paul daly,Paul Daly,Councillor,Westmeath County Council
paul dempsey,Paul Dempsey,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
paul dillon,Paul Dillon,Assistant Secretary,"Department of Agriculture, Food and the Marine"
paul donnelly,Paul Donnelly,Councillor,Fingal County Council
paul foley,Paul Foley,Councillor,South Dublin County Council
paul fox,Paul Fox,Adviser to Minister,"Department of Environment, Community and Local Government"
paul gavan,Paul Gavan,Senator,Seanad
paul gogarty,Paul Gogarty,Councillor,South Dublin County Council
paul hand,Paul Hand,Councillor,Dublin City Council
paul hayes,Paul Hayes,Councillor,Cork County Council
paul hickey,Paul Hickey,Assistant Secretary,Department of Justice and Equality
paul hogan,Paul Hogan,Councillor,Westmeath County Council
paul kehoe,Paul Kehoe,Government Chief Whip and Minister,Department of the Taoiseach
paul keller,Paul Keller,Councillor,Limerick City and County Council
paul keogh,Paul Keogh,Minister,Department of Defence
paul lemass,Paul Lemass,Assistant Secretary,"Department of Environment, Community and Local Government"
paul mcauliffe,Paul McAuliffe,Councillor,Dublin City Council
paul mcnamara,Paul McNamara,Councillor,Mayo County Council
paul moynihan,Paul Moynihan,Director of Services or Equivalent,Cork City Council
paul mulville,Paul Mulville,Councillor,Fingal County Council
paul murphy,Paul Murphy,Councillor,Clare County Council
paul o brien,Paul O'Brien,Special Advisor,Department of the Taoiseach
paul quinn,Paul Quinn,Government Chief Procurement Officer,Department of Public Expenditure and Reform
paul reid,Paul Reid,CEO,Fingal County Council
paul ross,Paul Ross,Councillor,Longford County Council
paul ryan,Paul Ryan,Director,Department of Finance
paul smyth,Paul Smyth,Customer Services,Fingal County Council
paul taylor,Paul Taylor,Councillor,Sligo County Council
paul ward,Paul Ward,Councillor,Kildare County Council
pauric mcphilips,Pauric McPhilips,Special Adviser,"Department of Arts, Heritage and the Gaeltacht"
pauric mcphillips,Pauric McPhillips,Special Adviser,"Department of Regional Development, Rural Affairs, Arts and the Gaeltacht"
peadar toibin,Peadar Tóibín,TD,"Dáil Éireann, the Oireachtas"
peader o?sullivan,Peader O’Sullivan,Director of Services or Equivalent,Dublin City Council
pearce flannery,Pearce Flannery,Councillor,Galway City Council
pearse doherty,Pearse Doherty,TD,Dáil Éireann
pearse mcgeough,Pearse McGeough,Councillor,Louth County council
peggy nolan,Peggy Nolan,Councillor,Longford County Council
peter baldwin,Peter Baldwin,Assistant Secretary,Department of Education and Skills
peter burke,Peter Burke,Councillor,Westmeath County Council
peter carey,Peter Carey,CEO,Kildare County Council
peter caulfield,Peter Caulfield,Director of Services or Equivalent,Fingal County Council
peter cleere,Peter Cleere,Councillor,Kilkenny County Council
peter feeney,Peter Feeney,Councillor,Galway County Council
peter finnegan,Peter Finnegan,Director of Services or Equivalent,Dublin City Council
peter fitzpatrick,Peter Fitzpatrick,TD,"Dáil Éireann, the Oireachtas"
peter gavican,Peter Gavican,Director of Services or Equivalent,Galway County Council
peter hynes,Peter Hynes,Chief Executive Officer,Mayo County Council
peter keane,Peter Keane,Councillor,Galway City Council
peter keaveney,Peter Keaveney,Councillor,Galway County Council
peter matthews,Peter Matthews,TD,"Dáil Éireann, the Oireachtas"
peter mcvitty,Peter McVitty,Councillor,Cavan County Council
peter minnock,Peter Minnock,Director of Services or Equivalent,Kildare County Council
peter mullan,Peter Mullan,Assistant Secretary,Department of Justice and Equality
peter obrien,Peter OBrien,Councillor,Dun Laoghaire-Rathdown County Council
peter o brien,Peter	O'Brien,Councillor,Dun Laoghaire-Rathdown County Council
peter ormond,Peter Ormond,Councillor,Offaly County Council
peter roche,Peter Roche,Councillor,Galway County Council
peter salmon,Peter Salmon,Director of Services or Equivalent,Galway City Council
peter savage,Peter Savage,Councillor,Louth County council
phil hogan,Phil Hogan,Commissioner,European Parliament
philip brady,Philip Brady,Councillor,Cavan County Council
philip brennan,Philip Brennan,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
philip hamell,Philip Hamell,Assistant Secretary,Department of the Taoiseach
philip kelly,Philip Kelly,Assistant Secretary,"Department of Jobs, Enterprise and Innovation"
philip lynam,Philip Lynam,Councillor,Fingal County Council
philip maguire,Philip Maguire,Director of Services or Equivalent,Dublin City Council
philip mcdonagh,Philip McDonagh,Assistant Secretary,Department of Foreign Affairs and Trade
philip nugent,Philip Nugent,Adviser to Minister,"Department of Housing, Planning and Local Government"
philip oneill,Philip ONeill,Director of Services or Equivalent,Kilkenny County Council
philomena poole,Philomena Poole,CEO,Dun Laoghaire-Rathdown County Council
phyll bugler,Phyll Bugler,Councillor,Tipperary County Council
pio martin smith,Pio Martin Smith,Councillor,Louth County council
pip breen,Pip Breen,Councillor,Wexford County Council
p.j. hourican,P.J. Hourican,Councillor,Cork City Council
p.j. kelly,P.J. Kelly,Councillor,Clare County Council
p.j. o hanlon,P.J. O'Hanlon,Councillor,Monaghan County Council
pj reilly,PJ Reilly,Councillor,Longford County Council
p.j. ryan,P.J. Ryan,Councillor,Clare County Council
rachael mccarthy,Rachael McCarthy,Councillor,Cork County Council
rachel doherty,Rachel Doherty,Councillor,Roscommon County Council
ray butler,Ray Butler,Senator,Seanad
ray mcadam,Ray McAdam,Councillor,Dublin City Council
ray mchugh,Ray McHugh,Councillor,Dublin City Council
ray o leary,Ray O'Leary,Assistant Secretary,"Department of Transport, Tourism and Sport"
reada cronin,Reada Cronin,Councillor,Kildare County Council
rebecca moynihan,Rebecca Moynihan,Councillor,Dublin City Council
regina doherty,Regina Doherty,Government Chief Whip and Minister,Department of the Taoiseach
rena donaghey,Rena Donaghey,Councillor,Donegal County Council
richard boyd barrett,Richard Boyd Barrett,TD,"Dáil Éireann, the Oireachtas"
richard bruton,Richard Bruton,Minister,Department of Education and Skills
richard finn,Richard Finn,Councillor,Mayo County Council
richard healy,Richard Healy,Director,"Department of Agriculture, Food and the Marine"
richard humphries,Richard Humphries,Councillor,Dun Laoghaire-Rathdown County Council
richard nangle,Richard Nangle,Councillor,Clare County Council
richard o donoghue,Richard O'Donoghue,Councillor,Limerick City and County Council
richard ryan,Richard Ryan,Assistant Secretary,Department of Justice and Equality
richard shakespeare,Richard Shakespeare,Deputy Chief Executive,Dublin City Council
richard troy,Richard Troy,Special Adviser,Department of Finance
richie culhane,Richie Culhane,Councillor,Louth County council
richie molloy,Richie Molloy,Councillor,Tipperary County Council
robbie gallagher,Robbie Gallagher,Councillor,Monaghan County Council
robert beasley,Robert Beasley,Councillor,Kerry County Council
robert dowds,Robert Dowds,TD,"Dáil Éireann, the Oireachtas"
robert ireton,Robert Ireton,Councillor,Wexford County Council
robert mooney,Robert Mooney,Director,Department of Defence
robert power,Robert Power,Councillor,Kildare County Council
robert troy,Robert Troy,TD,"Dáil Éireann, the Oireachtas"
robert watt,Robert Watt,Secretary General,Department of Public Expenditure and Reform
roderic o gorman,Roderic O'Gorman,Councillor,Fingal County Council
roger harrington,Roger Harrington,Professional Officer II,"Department of Environment, Community and Local Government"
roger kennedy,Roger Kennedy,Councillor,Tipperary County Council
roisin shortall,Róisín Shortall,TD,"Dáil Éireann, the Lower House of the Oireachtas"
roisin shorthall,Roisin Shorthall,TD,"Dáil Éireann, the Oireachtas"
ronan mckenna,Ronan McKenna,Councillor,Meath County Council
ronan mcmahon,Ronan McMahon,Councillor,South Dublin County Council
ronan mullen,Ronan Mullen,Senator,Seanad
ronan murphy,Ronan Murphy,Assistant Secretaries or Equivalent Grades,"The Houses of the Oireachtas, Parliamentary Services Division"
ronan o brien,Ronan O'Brien,Special Advisor,Department of Public Expenditure and Reform
rory montgomery,Rory Montgomery,Second Secretary General,Department of the Taoiseach
rory o byrne,Rory O'Byrne,Customer Services,Fingal County Council
rosaleen o grady,Rosaleen O'Grady,Councillor,Sligo County Council
rose conway walsh,Rose Conway Walsh,Councillor,Mayo County Council
rose conway-walsh,Rose Conway-Walsh,Senator,Seanad
rose kenny,Rose Kenny,Director of Services or Equivalent,Dublin City Council
rosemary mcmanus,Rosemary McManus,Director of Services or Equivalent,Monaghan County Council
ross elwood,Ross Elwood,Special Adviser,"Department of Communications, Climate Action & Environment"
?ross elwood,?Ross Elwood,Special Advisor,"Department of Communications, Climate Action & Environment"
roy dooney,Roy Dooney,Adviser to Minister,"Department of Jobs, Enterprise and Innovation"
ruairi de burca,Ruairí de Búrca,Assistant Secretary,Department of Foreign Affairs and Trade
ruairi mcginley,Ruairi McGinley,Councillor,Dublin City Council
ruairi quinn,Ruairí Quinn,TD,"Dáil Éireann, the Oireachtas"
ruth buckley,Ruth Buckley,Head of ICT and Business Services,Cork City Council
ruth carmody,Ruth Carmody,Assistant Secretary,Department of Education and Skills
ruth coppinger,Ruth Coppinger,TD,Dáil Éireann
ruth dowling,Ruth Dowling,Director of Services or Equivalent,Dublin City Council
ruth nolan,Ruth Nolan,Councillor,South Dublin County Council
sam locke,Sam Locke,Councillor,Kerry County Council
sandra kavanagh,Sandra Kavanagh,Councillor,Fingal County Council
sandra mclellan,Sandra McLellan,TD,"Dáil Éireann, the Oireachtas"
sarah holland,Sarah Holland,Councillor,South Dublin County Council
sarah kavanagh,Sarah Kavanagh,Special Advisor,Department of Foreign Affairs and Trade
sarah meade,Sarah Meade,Special Adviser,"Department of Regional Development, Rural Affairs, Arts and the Gaeltacht"
sarah neary,Sarah Neary,Special Advisor,"Department of Housing, Planning and Local Government"
sarah reilly,Sarah Reilly,Councillor,Meath County Council
seadhna logan,Seadhna Logan,Councillor,Leitrim County Council
seamas oneill,Seamas ONeill,Councillor,Dun Laoghaire-Rathdown County Council
seamas o neill,Seamas	O'Neill,Councillor,Dun Laoghaire-Rathdown County Council
seamie moore,Seamie Moore,Councillor,Kildare County Council
seamus browne,Séamus Browne,Councillor,Limerick City and County Council
seamus butler,Seamus Butler,Councillor,Longford County Council
seamus coyle,Seamus Coyle,Councillor,Monaghan County Council
seamus fitzgerald,Seamus Fitzgerald,Councillor,Kerry County Council
seamus hanafin,Seamus Hanafin,Chairman,Tipperary County Council
seamus healy,Seamus Healy,TD,"Dáil Éireann, the Oireachtas"
seamus kilgannon,Seamus Kilgannon,Councillor,Sligo County Council
seamus kirk,Séamus Kirk,TD,"Dáil Éireann, the Oireachtas"
seamus lyons,Seamus Lyons,Director of Services or Equivalent,Dublin City Council
seamus mcdonald,Seamus McDonald,Councillor,Laois County Council
seamus mcgrath,Seamus McGrath,Councillor,Cork County Council
seamus mcgrattan,Seamus McGrattan,Councillor,Dublin City Council
seamus morris,Seamus Morris,Councillor,Tipperary County Council
seamus neely ,Seamus Neely ,CEO,Donegal County Council
seamus o boyle,Seamus O'Boyle,Councillor,Sligo County Council
seamus odomhnaill,Seamus ODomhnaill,Councillor,Donegal County Council
seamus o donnell,Seamus O'Donnell,Councillor,Waterford and City Council
seamus treanor,Seamus Treanor,Councillor,Monaghan County Council
seamus walsh,Seamus Walsh,Councillor,Galway County Council
seamus weir,Seamus Weir,Councillor,Mayo County Council
sean armstrong,Sean Armstrong,Special Advisor,"Department of Housing, Planning and Local Government"
sean barrett,Sean Barrett,TD,"Dáil Éireann, the Lower House of the Oireachtas"
sean canney,Seán Canney,Councillor,Galway County Council
sean conlan,Seán Conlan,TD,"Dáil Éireann, the Oireachtas"
sean conlon,Seán Conlon,Councillor,Monaghan County Council
sean coughlan,Sean Coughlan,Human Resources / Corporate / Finance / I.C.T.,Limerick City and County Council
sean crowe,Sean Crowe,TD,"Dáil Éireann, the Lower House of the Oireachtas"
sean d. barrett,Sean D. Barrett,Senator,Seanad
sean drew,Sean Drew,Councillor,Meath County Council
sean fleming,Sean Fleming,TD,"Dáil Éireann, the Oireachtas"
sean haughey,Seán Haughey,Councillor,Dublin City Council
seanie power,Seanie Power,Councillor,Waterford and City Council
sean keating,Sean Keating,Director of Services or Equivalent,Tipperary County Council
sean kelly,Sean Kelly,MEP,European Parliament
sean kenny,Seán Kenny,TD,"Dáil Éireann, the Oireachtas"
sean kinsella,Sean Kinsella,Adviser to Minister,Department of Finance
sean kyne,Sean Kyne,Minister of State,"Department of Arts, Heritage and the Gaeltacht"
sean lynch,Seán Lynch,Councillor,Limerick City and County Council
sean macmanus,Seán MacManus,Councillor,Sligo County Council
sean martin,Sean Martin,Councillor,Cork City Council
sean mcdermott,Seán Mcdermott,Councillor,Leitrim County Council
sean mceniff,Seán McEniff,Councillor,Donegal County Council
sean mcgowan,Seán McGowan,Councillor,Leitrim County Council
sean murray,Sean Murray,Director of Services or Equivalent,Offaly County Council
sean o fearghaill,Sean O' Fearghaill,TD,"Dáil Éireann, the Oireachtas"
sean o fearghail,sean o fearghail,TD,"Dáil Éireann, the Oireachtas"
sean o foghlu,Sean O Foghlu,Secretary General,Department of Education and Skills
sean o tuairisg,Seán O Tuairisg,Councillor,Galway County Council
sean paul mahon,Sean Paul Mahon,Councillor,Dublin City Council
sean power,Seán Power,Councillor,Kildare County Council
sean quigley,Seán Quigley,Head of Directorate,The Courts Service
sean reinhardt,Sean Reinhardt,Councillor,Waterford and City Council
